土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市大安區仁愛路四段４０８巷９號三樓,25.0371800153689,121.557020014877,28880000.000000045,33039592.0,24814090.0,28831498.0,29172690.0,30500436.0,34947384.0,28612761.81628228,26326032.238179576,27570903.42075478,28922406.5059184,29576008.174675785,31291548.31807009,28804544.72354587,23154977.31068804,28822009.82212051,28869790.79395098,30529107.797344256,40923127.246691234,28776340.0,23709540.0,28746880.0,30430938.0,32506086.0,35101636.0,29808309.634957038,24501159.887216903,28492822.81071882,29348956.324967343,30777909.49300501,35565923.891190335
臺北市信義區永吉路３５４號十四樓之１,25.0450199865946,121.576610031341,37999999.99999996,24523688.0,21011258.0,26807204.0,31390572.0,33312954.0,33785450.0,33619603.88471097,26837695.55438189,31694187.03414032,36616939.01872894,36654688.46606049,38248859.02211451,30143504.494049307,22746106.75119591,29555443.36921668,29645026.45910026,31501294.676037632,32371493.742682405,28579206.0,19005420.0,24259252.0,29864558.0,36398356.0,38430104.0,29216500.59469007,22400120.07639445,28079021.60083925,31879273.8694573,34466823.28552453,35708976.69119923
臺北市士林區重慶北路四段２０６號二樓,25.0853700074765,121.511629997525,43799999.99999994,51044044.0,40239850.0,44529390.0,44703416.0,51307004.0,54861584.0,47202638.42347872,39636332.55879828,42762717.4069254,44397657.53035964,49323714.699925095,62491114.38646585,47703847.8398848,39068342.47858056,43721259.81177176,47937891.81267915,49724709.08055207,62261104.419530496,50213876.0,31931338.0,45644276.0,52854450.0,59458504.0,67650500.0,49041101.565840885,37718965.75934471,44164410.80467429,47473353.8357597,52453482.94511929,61816075.70149909
臺北市文山區政大二街１７１巷１９號,24.98942701,121.585248,33360000.00000005,31288954.0,30404830.0,32167174.0,33399098.0,34298710.0,42846700.0,33239705.619595703,27357630.07347323,31491396.35202801,32900362.82851378,36189134.70897375,39964792.46746076,30489521.684911527,28217781.44447532,30467189.85350117,33327351.1278974,33652790.99778153,35107862.34885646,33679544.0,25439826.0,31488136.0,32061328.0,32688256.0,40366690.0,32174431.326126806,27855016.87948714,31403474.051382296,32922034.989102796,34207222.92668882,39571511.2040793
臺北市北投區尊賢街２１８巷２３弄６號二樓,25.116069985142,121.508709993916,17980000.000000007,17696460.0,14183424.0,17381972.0,18025160.0,19507996.0,21946526.0,17389728.6131054,15114563.970675744,16501503.518542709,17869320.08301546,18191725.97389436,18895202.75858094,18730468.10919461,14832144.92970131,16598020.232098265,17997399.825354848,18477968.41176004,22571408.35963834,19000962.0,14038732.0,16806136.0,19128196.0,19369478.0,21050810.0,18204404.680575002,14542216.225094263,16821907.937660243,18255018.977092575,18886792.096413597,21115986.77955482
臺北市松山區民生東路五段２２８之１號三樓,25.058919989997,121.565769967421,33000000.00000001,29777192.0,24388600.0,30848020.0,33000480.0,33002998.0,34175876.0,31923842.99866915,29336488.603920557,31406791.62637236,32749045.78765469,33000000.00000001,33163981.44365409,31695877.766709253,26587852.9851608,32185517.804910004,32760531.216924302,33047052.75016459,33208633.83121369,28919620.0,21363030.0,28159912.0,30316288.0,33750348.0,35423532.0,30579133.1913446,25418992.89727034,30650060.357820593,32206586.25114475,33200099.68754115,33993005.81871694
臺北市內湖區東湖路１０６巷７弄１５號,25.06820001,121.614307,18500000.000000037,16833790.0,12593122.0,16984340.0,18505342.0,19790574.0,22519916.0,17896939.224641755,14149078.429862332,16498626.235439286,18500000.000000037,19108728.222066067,21205452.903598167,17859932.993838433,13129567.148438577,16779018.823781915,18498623.37930349,18531684.935049284,21948771.64120256,23938194.0,10170404.0,14211696.0,19252974.0,20615596.0,24166472.0,19132214.054620046,12510542.894575227,16118420.2648053,18689234.844825882,19511645.78927884,22460153.136200182
臺北市南港區昆陽街１７７號,25.04827992,121.5940283,115999999.99999988,115977060.0,44266030.0,106182820.0,115943000.0,116917896.0,146835980.0,107180422.25249016,72329433.32251891,100200979.06164676,114388810.64169855,121375450.56661616,132282224.88872524,106141576.09324092,44784802.2051408,85020148.95916322,120178920.57393906,142835878.2159219,188012170.01721928,97409840.0,61280316.0,86627360.0,107379360.0,141575940.0,152516740.0,106677224.58643277,55665145.38191493,94507827.0052025,114472522.80390939,130676291.19563451,154911778.72648612
臺北市中山區南京東路一段１０６號十樓,25.051900020359,121.526369993354,185260000.0000003,174153330.0,44926856.0,152364380.0,185619840.0,186401440.0,230467620.0,185777755.6965808,137519111.61995065,173894892.91375726,188683370.22658747,192531341.5422998,199429078.7806688,182734562.07586703,44914166.49384402,108607001.78229934,186317180.15748063,187750899.9469549,224649075.7933284,271270430.0,71349800.0,160682860.0,219322270.0,250772200.0,344037570.0,203484019.44311196,74677483.52844867,148887283.67401415,194985665.09601703,204363970.37231368,249645836.1434993
臺北市南港區研究院路二段１８２巷７８弄１０號,25.036344,121.613827,6999999.999999995,12178929.0,9315618.0,10604188.0,13711119.0,14743534.0,18171940.0,9946651.349316582,6999999.999999995,8273663.045502918,8619079.545780314,13404390.381917328,15499999.999999989,11650701.341962555,7618360.651670512,12573319.294013416,13330952.935472086,14042208.666510466,18199729.778081268,13895913.0,10706251.0,12603815.0,14496640.0,18204724.0,20557208.0,11918048.672819784,8660057.412917627,11013746.334879084,12539447.8703131,15098714.262106948,18107219.444520313
