土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,dnn_qmean,dnn_q0.1,dnn_q0.25,dnn_q0.5,dnn_q0.75,dnn_q0.9,cnn_qmean,cnn_q0.1,cnn_q0.25,cnn_q0.5,cnn_q0.75,cnn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12699999.999999996,11620927.0,7704697.0,9647658.0,12465390.0,14733245.0,17407320.0,11019534.756300934,9587335.133697914,10650704.350361632,11565545.539509667,12699999.999999996,15357376.573450657,12064484.593804969,7608367.962391706,10351137.247688716,12450201.116547955,14143519.56669197,18248158.01867801,13388546.0,7460217.0,11293010.0,12370106.0,16793896.0,21872728.0,12336624.0,4927024.0,8902412.0,12830531.0,16720289.0,19298270.0,12850246.0,5923067.0,9406176.0,12172380.0,16197330.0,18926198.0,12213393.725017652,7201784.682681602,10041849.599675057,12309025.609342938,15214713.261115327,18518341.76535478
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000012,60444164.0,49937370.0,58969470.0,59641490.0,66856988.0,68367570.0,57075740.78948179,46533306.74416225,51799295.42347702,58528983.65458229,67000000.00000012,74845007.42840445,58451286.69119266,56614487.2219309,57700712.14272683,62301168.25325021,65529960.46926477,79402654.27531973,64750720.0,32565414.0,46372796.0,65471884.0,77920510.0,114686900.0,64197704.0,24325650.0,51905160.0,57662584.0,70070340.0,99927000.0,55748492.0,16666924.0,38240796.0,62746820.0,75171340.0,87326440.0,60111351.24677908,37773858.661015525,50831371.5943673,61058821.651305415,70424856.41154414,87425928.61728735
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000011,18045766.0,10362693.0,14992544.0,19436796.0,22867006.0,26641544.0,18682343.933858063,15642042.66475254,16775536.540424932,18700715.75046553,21272805.577115525,27901707.782866947,18772845.81063773,10785111.530316688,15855982.60693983,19220194.256755885,22326756.606008217,27624352.10689168,17874794.0,10759086.0,14875644.0,17840426.0,21536332.0,27202934.0,17095494.0,7410898.5,12136655.0,15940254.0,21926528.0,22058788.0,15742349.0,8038633.5,10872486.0,18179914.0,18862124.0,22698404.0,17702265.457415964,10499744.199178204,14251474.69122746,18219716.667870235,21465258.69718729,25687954.98162644
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000026,15222486.0,11329276.0,14467913.0,15960789.0,18395932.0,20210300.0,15769138.299330022,11023611.023742542,13459464.456911167,15548986.432935022,16865618.01971626,18067039.935577024,15793261.04810178,11432776.760679036,13839663.962935483,15351209.329382416,17754167.991136633,21542515.71185689,16195261.0,10955294.0,14429386.0,16996654.0,19216178.0,22786068.0,16295934.0,7041125.0,12656742.0,15027873.0,20851884.0,22447142.0,13874408.0,8686267.0,10664267.0,18375102.0,19551726.0,24034544.0,15525081.391238635,10078058.297403596,13252906.069974443,16210102.293719573,18772584.33514215,21514601.607905652
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16299999.99999999,16720576.0,11620018.0,14024280.0,16865832.0,21155988.0,23148120.0,16243098.84715354,13305234.4287317,14596390.212577865,16032918.659787456,18198814.765459266,22795894.6934926,16071761.046818333,11675232.2357569,13604568.40615049,16365970.294901527,19222763.73755841,23376451.26565542,17273964.0,11384535.0,14278562.0,17615098.0,20771024.0,23286772.0,16383884.0,7071461.0,12111680.0,14959895.0,22023012.0,23069048.0,15310745.0,8395406.0,12195619.0,18725800.0,19780988.0,22289880.0,16334004.81566198,10575314.444081433,13468516.603121392,16760918.992448164,20192098.417169612,22994360.993191335
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000001,11396766.0,7370497.5,10174614.0,12056709.0,16213403.0,19258154.0,10036686.41249988,5300539.741643828,8349492.750734637,11998425.111311505,15000000.00000001,20408770.076248087,12226264.429431356,7020617.1734922165,12036583.959535675,13135800.37841932,14870380.299725024,20179155.16511943,12995349.0,8851930.0,11527832.0,13932776.0,17916436.0,21980208.0,12924874.0,6107939.0,10357575.0,11786607.0,18453882.0,19905508.0,14406918.0,6805086.0,11344304.0,13330474.0,15348785.0,19337806.0,12331142.973655207,6909434.902522673,10631733.618378384,12706798.581621803,16300481.04995417,20178266.873561252
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000005,9116309.0,6059210.5,7062174.0,8706769.0,11689709.0,14731644.0,10032172.990468908,5992849.551076046,7499736.861259224,9301508.244985944,9701568.156784354,12296549.275053533,8710364.84068057,5498917.990917813,7007879.975120788,8051373.805372578,12601246.061067678,17064143.135166947,9201523.0,4942361.0,7701251.5,8950852.0,11824165.0,15878926.0,8939659.0,3487630.8,8666978.0,8844108.0,13753996.0,18177208.0,9576596.0,5214720.0,8139210.0,10551349.0,10601802.0,15254603.0,9262770.805191578,5199281.64033231,7679538.389396668,9067660.008393086,11695414.369642004,15567178.901703412
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000026,12744750.0,9025649.0,12015432.0,14597414.0,14777515.0,17082130.0,14256601.821043538,11810165.11568189,13190650.275119564,14377496.288833786,14580000.000000026,16957181.72266712,13966349.360657956,9525856.979145149,11544552.79534262,14264842.60589498,15678681.673591314,17267564.29889454,13232842.0,8615522.0,11386772.0,14042588.0,14978882.0,16843202.0,12451180.0,5326641.5,9170948.0,12072978.0,16625109.0,17790170.0,11612109.0,7264489.0,10921849.0,14822794.0,15568236.0,17985050.0,13043972.030283583,8594720.59913784,11371700.678410364,14029685.482454794,15368070.612265224,17320883.00359361
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000005,25522984.0,14517836.0,23659984.0,25726646.0,29028432.0,30480896.0,21785263.78532589,22281658.51518108,23314027.595515795,23641660.40580421,30000000.00000005,30620509.80455429,26658307.170386437,16740115.764823338,20812136.514751185,27493133.79829392,29441585.30320021,30760484.14203852,29154112.0,20697388.0,25802128.0,26249074.0,31575342.0,36193990.0,27371876.0,12081594.0,13955516.0,23221660.0,31880098.0,34455816.0,24472428.0,9367628.0,19226150.0,24718764.0,30885404.0,35619876.0,25827495.159285385,15947703.380000735,21128323.685044497,25175156.367349688,30468476.88386671,33021928.657765467
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22079999.999999966,20420508.0,13659384.0,19945832.0,23214000.0,24220600.0,25231744.0,19137335.91919379,18236278.44879179,19348680.050720274,21427280.75884136,23494680.25087036,26582086.638755023,21730237.74798077,15572063.836668449,18576948.453894727,22539696.888984326,23658743.94088923,25904856.006180763,20800522.0,13265821.0,17896900.0,20335620.0,24533138.0,27147318.0,20748732.0,8854421.0,16004687.0,18512192.0,23348280.0,27958894.0,19422900.0,9077477.0,19444064.0,23335504.0,23463504.0,27215286.0,20376705.944529094,13110907.547576705,18536185.25076917,21560715.60797095,23786491.031959932,26673364.1074893
